timestamp,date,hour,day_of_week,month,day,year,is_weekend,is_business_hours,is_peak_hours,is_night,is_festival,festival_name,is_campaign,traffic_load,cpu_usage,memory_usage,response_time,error_rate
2023-01-01 00:00:00,2023-01-01,0,6,1,1,2023,1,0,0,1,0,None,1,492,32.93,43.93,125.72,0.65
2023-01-01 01:00:00,2023-01-01,1,6,1,1,2023,1,0,0,1,0,None,1,462,29.66,49.33,152.7,0.693
2023-01-01 02:00:00,2023-01-01,2,6,1,1,2023,1,0,0,1,0,None,1,318,29.84,45.15,114.99,0.642
2023-01-01 03:00:00,2023-01-01,3,6,1,1,2023,1,0,0,1,0,None,1,303,28.35,44.91,122.41,0.291
2023-01-01 04:00:00,2023-01-01,4,6,1,1,2023,1,0,0,1,0,None,1,359,39.29,48.79,128.23,0.389
2023-01-01 05:00:00,2023-01-01,5,6,1,1,2023,1,0,0,1,0,None,1,558,40.72,47.25,136.74,0.92
2023-01-01 06:00:00,2023-01-01,6,6,1,1,2023,1,0,0,0,0,None,1,1050,51.18,63.97,211.67,0.71
2023-01-01 07:00:00,2023-01-01,7,6,1,1,2023,1,0,0,0,0,None,1,1552,64.47,59.66,251.71,0.976
2023-01-01 08:00:00,2023-01-01,8,6,1,1,2023,1,0,0,0,0,None,1,2697,100.0,84.0,364.58,1.757
2023-01-01 09:00:00,2023-01-01,9,6,1,1,2023,1,1,0,0,0,None,1,3252,100.0,100.0,414.24,1.473
2023-01-01 10:00:00,2023-01-01,10,6,1,1,2023,1,1,0,0,0,None,1,4457,100.0,100.0,551.6,2.194
2023-01-01 11:00:00,2023-01-01,11,6,1,1,2023,1,1,0,0,0,None,1,4393,100.0,100.0,523.6,2.15
2023-01-01 12:00:00,2023-01-01,12,6,1,1,2023,1,1,1,0,0,None,1,3995,100.0,100.0,483.25,2.253
2023-01-01 13:00:00,2023-01-01,13,6,1,1,2023,1,1,1,0,0,None,1,3607,100.0,98.87,437.1,1.928
2023-01-01 14:00:00,2023-01-01,14,6,1,1,2023,1,1,0,0,0,None,1,4176,100.0,100.0,502.12,2.095
2023-01-01 15:00:00,2023-01-01,15,6,1,1,2023,1,1,0,0,0,None,1,3750,100.0,100.0,443.37,2.084
2023-01-01 16:00:00,2023-01-01,16,6,1,1,2023,1,1,0,0,0,None,1,3495,100.0,98.89,408.15,1.916
2023-01-01 17:00:00,2023-01-01,17,6,1,1,2023,1,1,0,0,0,None,1,3411,100.0,100.0,437.61,1.894
2023-01-01 18:00:00,2023-01-01,18,6,1,1,2023,1,1,0,0,0,None,1,3914,100.0,100.0,486.33,2.139
2023-01-01 19:00:00,2023-01-01,19,6,1,1,2023,1,0,1,0,0,None,1,4336,100.0,100.0,521.63,2.05
2023-01-01 20:00:00,2023-01-01,20,6,1,1,2023,1,0,1,0,0,None,1,5266,100.0,100.0,632.53,2.255
2023-01-01 21:00:00,2023-01-01,21,6,1,1,2023,1,0,1,0,0,None,1,4740,100.0,100.0,552.04,2.194
2023-01-01 22:00:00,2023-01-01,22,6,1,1,2023,1,0,0,0,0,None,1,3690,100.0,100.0,472.63,1.792
2023-01-01 23:00:00,2023-01-01,23,6,1,1,2023,1,0,0,1,0,None,1,1771,69.33,65.17,261.31,1.293
2023-01-02 00:00:00,2023-01-02,0,0,1,2,2023,0,0,0,1,0,None,0,252,26.32,45.51,120.73,0.27
2023-01-02 01:00:00,2023-01-02,1,0,1,2,2023,0,0,0,1,0,None,0,210,23.57,46.73,86.4,0.537
2023-01-02 02:00:00,2023-01-02,2,0,1,2,2023,0,0,0,1,0,None,0,163,28.29,43.58,91.99,0.504
2023-01-02 03:00:00,2023-01-02,3,0,1,2,2023,0,0,0,1,0,None,0,126,24.34,48.95,68.1,0.166
2023-01-02 04:00:00,2023-01-02,4,0,1,2,2023,0,0,0,1,0,None,0,167,27.9,43.29,74.0,0.326
2023-01-02 05:00:00,2023-01-02,5,0,1,2,2023,0,0,0,1,0,None,0,254,26.7,36.42,98.9,0.724
2023-01-02 06:00:00,2023-01-02,6,0,1,2,2023,0,0,0,0,0,None,0,453,32.56,50.74,134.16,0.839
2023-01-02 07:00:00,2023-01-02,7,0,1,2,2023,0,0,0,0,0,None,0,813,45.59,57.41,174.77,0.624
2023-01-02 08:00:00,2023-01-02,8,0,1,2,2023,0,0,0,0,0,None,0,1003,51.62,52.21,177.43,0.822
2023-01-02 09:00:00,2023-01-02,9,0,1,2,2023,0,1,0,0,0,None,0,1630,66.23,70.71,254.02,0.82
2023-01-02 10:00:00,2023-01-02,10,0,1,2,2023,0,1,0,0,0,None,0,1795,72.58,70.76,269.74,1.106
2023-01-02 11:00:00,2023-01-02,11,0,1,2,2023,0,1,0,0,0,None,0,1992,75.96,72.31,278.7,0.957
2023-01-02 12:00:00,2023-01-02,12,0,1,2,2023,0,1,1,0,0,None,0,2090,90.34,75.85,286.43,0.966
2023-01-02 13:00:00,2023-01-02,13,0,1,2,2023,0,1,1,0,0,None,0,1877,79.42,77.05,271.82,1.23
2023-01-02 14:00:00,2023-01-02,14,0,1,2,2023,0,1,0,0,0,None,0,1748,75.05,73.5,271.07,0.83
2023-01-02 15:00:00,2023-01-02,15,0,1,2,2023,0,1,0,0,0,None,0,1578,65.06,68.5,247.7,0.846
2023-01-02 16:00:00,2023-01-02,16,0,1,2,2023,0,1,0,0,0,None,0,1527,66.02,66.2,256.32,0.999
2023-01-02 17:00:00,2023-01-02,17,0,1,2,2023,0,1,0,0,0,None,0,1578,66.16,68.31,216.31,0.972
2023-01-02 18:00:00,2023-01-02,18,0,1,2,2023,0,1,0,0,0,None,0,1685,65.32,71.38,239.26,0.887
2023-01-02 19:00:00,2023-01-02,19,0,1,2,2023,0,0,1,0,0,None,0,1890,79.02,73.93,275.88,1.167
2023-01-02 20:00:00,2023-01-02,20,0,1,2,2023,0,0,1,0,0,None,0,2255,87.69,77.4,310.47,1.391
2023-01-02 21:00:00,2023-01-02,21,0,1,2,2023,0,0,1,0,0,None,0,2023,82.6,73.76,308.76,1.32
2023-01-02 22:00:00,2023-01-02,22,0,1,2,2023,0,0,0,0,0,None,0,1630,62.58,63.3,241.56,0.834
2023-01-02 23:00:00,2023-01-02,23,0,1,2,2023,0,0,0,1,0,None,0,722,41.67,55.2,156.85,0.466
2023-01-03 00:00:00,2023-01-03,0,1,1,3,2023,0,0,0,1,0,None,0,268,28.52,45.94,113.37,0.652
2023-01-03 01:00:00,2023-01-03,1,1,1,3,2023,0,0,0,1,0,None,0,199,24.34,46.64,80.41,0.575
2023-01-03 02:00:00,2023-01-03,2,1,1,3,2023,0,0,0,1,0,None,0,142,21.96,47.88,107.37,0.38
2023-01-03 03:00:00,2023-01-03,3,1,1,3,2023,0,0,0,1,0,None,0,146,31.83,43.22,97.26,0.561
2023-01-03 04:00:00,2023-01-03,4,1,1,3,2023,0,0,0,1,0,None,0,146,21.28,43.78,95.58,0.207
2023-01-03 05:00:00,2023-01-03,5,1,1,3,2023,0,0,0,1,0,None,0,243,27.02,45.18,86.43,0.252
2023-01-03 06:00:00,2023-01-03,6,1,1,3,2023,0,0,0,0,0,None,0,458,31.84,51.52,141.06,0.538
2023-01-03 07:00:00,2023-01-03,7,1,1,3,2023,0,0,0,0,0,None,0,659,38.59,55.93,140.67,0.568
2023-01-03 08:00:00,2023-01-03,8,1,1,3,2023,0,0,0,0,0,None,0,1012,59.13,60.11,192.36,1.008
2023-01-03 09:00:00,2023-01-03,9,1,1,3,2023,0,1,0,0,0,None,0,1422,61.85,67.02,228.67,1.369
2023-01-03 10:00:00,2023-01-03,10,1,1,3,2023,0,1,0,0,0,None,0,1784,73.03,70.73,259.96,1.18
2023-01-03 11:00:00,2023-01-03,11,1,1,3,2023,0,1,0,0,0,None,0,1767,72.53,79.78,273.4,0.86
2023-01-03 12:00:00,2023-01-03,12,1,1,3,2023,0,1,1,0,0,None,0,1907,77.44,70.79,252.94,0.933
2023-01-03 13:00:00,2023-01-03,13,1,1,3,2023,0,1,1,0,0,None,0,1900,77.37,76.02,254.3,1.033
2023-01-03 14:00:00,2023-01-03,14,1,1,3,2023,0,1,0,0,0,None,0,1794,72.59,72.47,276.7,0.841
2023-01-03 15:00:00,2023-01-03,15,1,1,3,2023,0,1,0,0,0,None,0,1386,60.32,68.39,218.2,0.707
2023-01-03 16:00:00,2023-01-03,16,1,1,3,2023,0,1,0,0,0,None,0,1746,70.96,69.82,266.87,0.82
2023-01-03 17:00:00,2023-01-03,17,1,1,3,2023,0,1,0,0,0,None,0,1553,59.75,72.88,231.45,0.907
2023-01-03 18:00:00,2023-01-03,18,1,1,3,2023,0,1,0,0,0,None,0,1836,72.07,69.14,258.52,1.196
2023-01-03 19:00:00,2023-01-03,19,1,1,3,2023,0,0,1,0,0,None,0,2214,83.62,75.76,299.03,1.533
2023-01-03 20:00:00,2023-01-03,20,1,1,3,2023,0,0,1,0,0,None,0,2148,86.02,76.13,279.27,1.394
2023-01-03 21:00:00,2023-01-03,21,1,1,3,2023,0,0,1,0,0,None,0,1746,74.11,64.15,260.34,0.832
